Layer,From,N,Params,Module,Arguments
342,340,1,0,BatchNorm2d,[]
343,340,1,0,SiLU,[]
344,325,1,0,Bottleneck,[]
345,344,1,0,Conv,[]
346,345,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
347,345,1,0,BatchNorm2d,[]
348,345,1,0,SiLU,[]
349,344,1,0,Conv,[]
350,349,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
351,349,1,0,BatchNorm2d,[]
352,349,1,0,SiLU,[]
353,0,1,0,Conv,[]
354,353,1,0,Conv2d,"kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), dilation=(1, 1)"
355,353,1,0,BatchNorm2d,[]
356,353,1,0,SiLU,[]
357,0,1,0,Concat,[]
358,0,1,0,C2f,[]
359,358,1,0,Conv,[]
360,359,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
361,359,1,0,BatchNorm2d,[]
362,359,1,0,SiLU,[]
363,358,1,0,Conv,[]
364,363,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
365,363,1,0,BatchNorm2d,[]
366,363,1,0,SiLU,[]
367,358,1,0,ModuleList,[]
368,367,1,0,Bottleneck,[]
369,368,1,0,Conv,[]
370,369,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
371,369,1,0,BatchNorm2d,[]
372,369,1,0,SiLU,[]
373,368,1,0,Conv,[]
374,373,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
375,373,1,0,BatchNorm2d,[]
376,373,1,0,SiLU,[]
377,367,1,0,Bottleneck,[]
378,377,1,0,Conv,[]
379,378,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
380,378,1,0,BatchNorm2d,[]
381,378,1,0,SiLU,[]
382,377,1,0,Conv,[]
383,382,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
384,382,1,0,BatchNorm2d,[]
385,382,1,0,SiLU,[]
386,367,1,0,Bottleneck,[]
387,386,1,0,Conv,[]
388,387,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
389,387,1,0,BatchNorm2d,[]
390,387,1,0,SiLU,[]
391,386,1,0,Conv,[]
392,391,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
393,391,1,0,BatchNorm2d,[]
394,391,1,0,SiLU,[]
395,0,1,0,Segment,"stride=tensor([ 8., 16., 32.], device='cuda:0')"
396,395,1,0,ModuleList,[]
397,396,1,0,Sequential,[]
398,397,1,0,Conv,[]
399,398,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
400,398,1,0,BatchNorm2d,[]
401,398,1,0,SiLU,[]
402,397,1,0,Conv,[]
403,402,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
404,402,1,0,BatchNorm2d,[]
